 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Category,Have/Exclude,Component / Item,Qty ,Est. USD,Est. Total,Notes,Sources,,,,,,Additional Notes
SHCS,FALSE,M3x8 SHCS,8,$0.01,$0.11,JLC,https://jlcmc.com/product/s/E02/EDLA/din-912-gb-t-70.1-standard-socket-head-cap-screws-full---half-thread,,,,,,
FHCS,FALSE,M3x25 FHCS,50,$0.01,$0.70,JLC,https://jlcmc.com/product/s/E02/EDLJ/din-7991-gb-t-70.3-hex-socket-countersunk-head-screw,,,,,,
FHCS,FALSE,M3x20 FHCS,32,$0.01,$0.35,JLC,https://jlcmc.com/product/s/E02/EDLJ/din-7991-gb-t-70.3-hex-socket-countersunk-head-screw,,,,,,
FHCS,FALSE,M3x10 FHCS,6,$0.01,$0.04,JLC,https://jlcmc.com/product/s/E02/EDLJ/din-7991-gb-t-70.3-hex-socket-countersunk-head-screw,,,,,,
FHCS,FALSE,M3x8 FHCS,9,$0.01,$0.06,JLC,https://jlcmc.com/product/s/E02/EDLJ/din-7991-gb-t-70.3-hex-socket-countersunk-head-screw,,,,,,
FHCS,FALSE,M3x6 FHCS,16,$0.00,$0.07,JLC,https://jlcmc.com/product/s/E02/EDLJ/din-7991-gb-t-70.3-hex-socket-countersunk-head-screw,,,,,,
Low profile SHCS,FALSE,M3x8 SHCS Low,2,$0.79,$1.59,JLC,https://jlcmc.com/product/s/E02/EDLZ/hex-socket-cap-screw-ultra-short-head-type,,,,,,
Shoulder Bolt,FALSE,M3 D4x12 Shoulder,2,$0.00,#REF!,JLC,,,,,,,
Set Screw,FALSE,M2.5x2.5 set screw,1,$0.09,$0.09,JLC,https://jlcmc.com/product/s/E02/EDLR/din-913-914-915-916-hex-socket-set-screw-(flat-cone-cup-point-end),,,,,,
Set Screw,FALSE,M4x4 set screw,1,$0.01,$0.01,JLC,https://jlcmc.com/product/s/E02/EDLR/din-913-914-915-916-hex-socket-set-screw-(flat-cone-cup-point-end),,,,,,
Set Screw,FALSE,M4x3 set screw,8,$0.01,$0.05,JLC,https://jlcmc.com/product/s/E02/EDLR/din-913-914-915-916-hex-socket-set-screw-(flat-cone-cup-point-end),,,,,,
Heatset,FALSE,M3 Heatset,70,$0.07,$4.70,,https://www.aliexpress.us/item/3256805885174058.html,,,,,,
Hex Nut,FALSE,M5 Hex nut,8,$0.11,$0.91,JLC,https://jlcmc.com/product/s/E04/EMLC/anti-loosening-nut,,,,,,
Hex Nut,TRUE,M4 Hex nut,6,$0.00,$0.00,JLC,https://jlcmc.com/product/s/E04/EMLC/anti-loosening-nut,,,,,,
